ID;DATAFLOW;COUNTRY;TIME_PERIOD;INFMORRT
AD_2018;ESTAT:TPS00027(1.0);AD;2018;1.8
AL_2011;ESTAT:TPS00027(1.0);AL;2011;8.7
AL_2012;ESTAT:TPS00027(1.0);AL;2012;8.8
AL_2013;ESTAT:TPS00027(1.0);AL;2013;7.9
AL_2014;ESTAT:TPS00027(1.0);AL;2014;7.9
AL_2015;ESTAT:TPS00027(1.0);AL;2015;7.1
AL_2016;ESTAT:TPS00027(1.0);AL;2016;8.7
AL_2017;ESTAT:TPS00027(1.0);AL;2017;8.0
AL_2018;ESTAT:TPS00027(1.0);AL;2018;8.9
AL_2019;ESTAT:TPS00027(1.0);AL;2019;10.3
AL_2020;ESTAT:TPS00027(1.0);AL;2020;10.0
AL_2021;ESTAT:TPS00027(1.0);AL;2021;8.4
AL_2022;ESTAT:TPS00027(1.0);AL;2022;6.5
AM_2011;ESTAT:TPS00027(1.0);AM;2011;11.7
AM_2014;ESTAT:TPS00027(1.0);AM;2014;8.7
AM_2015;ESTAT:TPS00027(1.0);AM;2015;8.9
AM_2016;ESTAT:TPS00027(1.0);AM;2016;8.7
AM_2017;ESTAT:TPS00027(1.0);AM;2017;8.2
AM_2018;ESTAT:TPS00027(1.0);AM;2018;7.1
AM_2020;ESTAT:TPS00027(1.0);AM;2020;7.3
AT_2011;ESTAT:TPS00027(1.0);AT;2011;3.6
AT_2012;ESTAT:TPS00027(1.0);AT;2012;3.2
AT_2013;ESTAT:TPS00027(1.0);AT;2013;3.1
AT_2014;ESTAT:TPS00027(1.0);AT;2014;3.0
AT_2015;ESTAT:TPS00027(1.0);AT;2015;3.1
AT_2016;ESTAT:TPS00027(1.0);AT;2016;3.1
AT_2017;ESTAT:TPS00027(1.0);AT;2017;2.9
AT_2018;ESTAT:TPS00027(1.0);AT;2018;2.7
AT_2019;ESTAT:TPS00027(1.0);AT;2019;2.9
AT_2020;ESTAT:TPS00027(1.0);AT;2020;3.1
AT_2021;ESTAT:TPS00027(1.0);AT;2021;2.7
AT_2022;ESTAT:TPS00027(1.0);AT;2022;2.4
AZ_2011;ESTAT:TPS00027(1.0);AZ;2011;10.8
AZ_2012;ESTAT:TPS00027(1.0);AZ;2012;10.8
AZ_2013;ESTAT:TPS00027(1.0);AZ;2013;10.8
AZ_2014;ESTAT:TPS00027(1.0);AZ;2014;9.7
AZ_2015;ESTAT:TPS00027(1.0);AZ;2015;12.2
AZ_2016;ESTAT:TPS00027(1.0);AZ;2016;10.4
AZ_2017;ESTAT:TPS00027(1.0);AZ;2017;11.8
AZ_2018;ESTAT:TPS00027(1.0);AZ;2018;11.1
AZ_2019;ESTAT:TPS00027(1.0);AZ;2019;11.0
AZ_2020;ESTAT:TPS00027(1.0);AZ;2020;9.8
BA_2012;ESTAT:TPS00027(1.0);BA;2012;5.4
BE_2011;ESTAT:TPS00027(1.0);BE;2011;3.4
BE_2012;ESTAT:TPS00027(1.0);BE;2012;3.8
BE_2013;ESTAT:TPS00027(1.0);BE;2013;3.5
BE_2014;ESTAT:TPS00027(1.0);BE;2014;3.4
BE_2015;ESTAT:TPS00027(1.0);BE;2015;3.3
BE_2016;ESTAT:TPS00027(1.0);BE;2016;3.2
BE_2017;ESTAT:TPS00027(1.0);BE;2017;3.6
BE_2018;ESTAT:TPS00027(1.0);BE;2018;3.8
BE_2019;ESTAT:TPS00027(1.0);BE;2019;3.7
BE_2020;ESTAT:TPS00027(1.0);BE;2020;3.3
BE_2021;ESTAT:TPS00027(1.0);BE;2021;2.9
BE_2022;ESTAT:TPS00027(1.0);BE;2022;2.9
BG_2011;ESTAT:TPS00027(1.0);BG;2011;8.5
BG_2012;ESTAT:TPS00027(1.0);BG;2012;7.8
BG_2013;ESTAT:TPS00027(1.0);BG;2013;7.3
BG_2014;ESTAT:TPS00027(1.0);BG;2014;7.6
BG_2015;ESTAT:TPS00027(1.0);BG;2015;6.6
BG_2016;ESTAT:TPS00027(1.0);BG;2016;6.5
BG_2017;ESTAT:TPS00027(1.0);BG;2017;6.4
BG_2018;ESTAT:TPS00027(1.0);BG;2018;5.8
BG_2019;ESTAT:TPS00027(1.0);BG;2019;5.6
BG_2020;ESTAT:TPS00027(1.0);BG;2020;5.1
BG_2021;ESTAT:TPS00027(1.0);BG;2021;5.6
BG_2022;ESTAT:TPS00027(1.0);BG;2022;4.8
BY_2011;ESTAT:TPS00027(1.0);BY;2011;3.8
BY_2012;ESTAT:TPS00027(1.0);BY;2012;3.3
BY_2013;ESTAT:TPS00027(1.0);BY;2013;3.4
BY_2014;ESTAT:TPS00027(1.0);BY;2014;3.5
BY_2015;ESTAT:TPS00027(1.0);BY;2015;3.0
BY_2016;ESTAT:TPS00027(1.0);BY;2016;3.2
BY_2017;ESTAT:TPS00027(1.0);BY;2017;3.2
BY_2018;ESTAT:TPS00027(1.0);BY;2018;2.5
CH_2011;ESTAT:TPS00027(1.0);CH;2011;3.8
CH_2012;ESTAT:TPS00027(1.0);CH;2012;3.6
CH_2013;ESTAT:TPS00027(1.0);CH;2013;3.9
CH_2014;ESTAT:TPS00027(1.0);CH;2014;3.9
CH_2015;ESTAT:TPS00027(1.0);CH;2015;3.9
CH_2016;ESTAT:TPS00027(1.0);CH;2016;3.6
CH_2017;ESTAT:TPS00027(1.0);CH;2017;3.5
CH_2018;ESTAT:TPS00027(1.0);CH;2018;3.3
CH_2019;ESTAT:TPS00027(1.0);CH;2019;3.3
CH_2020;ESTAT:TPS00027(1.0);CH;2020;3.6
CH_2021;ESTAT:TPS00027(1.0);CH;2021;3.1
CH_2022;ESTAT:TPS00027(1.0);CH;2022;3.8
CY_2011;ESTAT:TPS00027(1.0);CY;2011;3.1
CY_2012;ESTAT:TPS00027(1.0);CY;2012;3.5
CY_2013;ESTAT:TPS00027(1.0);CY;2013;1.6
CY_2014;ESTAT:TPS00027(1.0);CY;2014;2.1
CY_2015;ESTAT:TPS00027(1.0);CY;2015;2.7
CY_2016;ESTAT:TPS00027(1.0);CY;2016;2.6
CY_2017;ESTAT:TPS00027(1.0);CY;2017;1.3
CY_2018;ESTAT:TPS00027(1.0);CY;2018;2.4
CY_2019;ESTAT:TPS00027(1.0);CY;2019;2.6
CY_2020;ESTAT:TPS00027(1.0);CY;2020;2.1
CY_2021;ESTAT:TPS00027(1.0);CY;2021;2.7
CY_2022;ESTAT:TPS00027(1.0);CY;2022;3.1
CZ_2011;ESTAT:TPS00027(1.0);CZ;2011;2.7
CZ_2012;ESTAT:TPS00027(1.0);CZ;2012;2.6
CZ_2013;ESTAT:TPS00027(1.0);CZ;2013;2.5
CZ_2014;ESTAT:TPS00027(1.0);CZ;2014;2.4
CZ_2015;ESTAT:TPS00027(1.0);CZ;2015;2.5
CZ_2016;ESTAT:TPS00027(1.0);CZ;2016;2.8
CZ_2017;ESTAT:TPS00027(1.0);CZ;2017;2.7
CZ_2018;ESTAT:TPS00027(1.0);CZ;2018;2.6
CZ_2019;ESTAT:TPS00027(1.0);CZ;2019;2.6
CZ_2020;ESTAT:TPS00027(1.0);CZ;2020;2.3
CZ_2021;ESTAT:TPS00027(1.0);CZ;2021;2.2
CZ_2022;ESTAT:TPS00027(1.0);CZ;2022;2.3
DE_2011;ESTAT:TPS00027(1.0);DE;2011;3.6
DE_2012;ESTAT:TPS00027(1.0);DE;2012;3.3
DE_2013;ESTAT:TPS00027(1.0);DE;2013;3.3
DE_2014;ESTAT:TPS00027(1.0);DE;2014;3.2
DE_2015;ESTAT:TPS00027(1.0);DE;2015;3.3
DE_2016;ESTAT:TPS00027(1.0);DE;2016;3.4
DE_2017;ESTAT:TPS00027(1.0);DE;2017;3.3
DE_2018;ESTAT:TPS00027(1.0);DE;2018;3.2
DE_2019;ESTAT:TPS00027(1.0);DE;2019;3.2
DE_2020;ESTAT:TPS00027(1.0);DE;2020;3.1
DE_2021;ESTAT:TPS00027(1.0);DE;2021;3.0
DE_2022;ESTAT:TPS00027(1.0);DE;2022;3.2
DK_2011;ESTAT:TPS00027(1.0);DK;2011;3.5
DK_2012;ESTAT:TPS00027(1.0);DK;2012;3.4
DK_2013;ESTAT:TPS00027(1.0);DK;2013;3.5
DK_2014;ESTAT:TPS00027(1.0);DK;2014;4.0
DK_2015;ESTAT:TPS00027(1.0);DK;2015;3.7
DK_2016;ESTAT:TPS00027(1.0);DK;2016;3.1
DK_2017;ESTAT:TPS00027(1.0);DK;2017;3.8
DK_2018;ESTAT:TPS00027(1.0);DK;2018;3.7
DK_2019;ESTAT:TPS00027(1.0);DK;2019;3.0
DK_2020;ESTAT:TPS00027(1.0);DK;2020;3.2
DK_2021;ESTAT:TPS00027(1.0);DK;2021;3.1
DK_2022;ESTAT:TPS00027(1.0);DK;2022;3.3
EE_2011;ESTAT:TPS00027(1.0);EE;2011;2.5
EE_2012;ESTAT:TPS00027(1.0);EE;2012;3.6
EE_2013;ESTAT:TPS00027(1.0);EE;2013;2.1
